Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
17051,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17051,"The Jetsons Full Family Size Comparison/Color Model Cel (Hanna-Barbera, 1962).",105,6,53,110,3h 15m 47s
17052,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17052,"Ricochet Rabbit & Droop-a-Long ""Atchison Topeka & Sam Jose"" Title Cel and Key Master Background (Hanna-Barbera, 1964).",125,5,26,111,3h 15m 42s
17053,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17053,"Jonny Quest ""Calcutta Adventure"" Pan Production Background (Hanna-Barbera, 1964).",410,12,26,159,3h 15m 36s
17054,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17054,"The Banana Splits Hand-Drawn Logo Original Art and Costume Photos Group of 5 (Hanna-Barbera, 1968).",110,6,35,125,3h 15m 30s
17055,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17055,"Hanna-Barbera's World of Super Adventure Multi-Character Publicity Cel (Hanna-Barbera, c. 1978-1984).",200,29,55,248,3h 15m 24s
