Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
17082,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17082,"Bugs Bunny Cartoon Revue One Sheet Poster (Warner Brothers, 1953).",101,4,14,34,22h 52m 20s
17083,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17083,"Upswept Hare Bugs Bunny Production Cel and Custom Painted Background (Warner Brothers, 1953/1997).",105,5,40,104,22h 52m 16s
17084,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17084,"Robot Rabbit Bugs Bunny Production Cel with Custom Painted Background (Warner Brothers, 1953/1996).",105,4,23,49,22h 52m 10s
17085,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17085,"Robot Rabbit Bugs Bunny and Elmer Fudd Production Cels with Custom Painted Backgrounds (Warner Brothers, 1953/1998).",260,5,32,84,22h 52m 5s
17086,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17086,"Bugs and Thugs Bugs Bunny Production Cel (Warner Brothers, 1954).",105,3,46,77,22h 52m
17087,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17087,"Dog Pounded 63-Inch Pan Production Background by Irv Wyner (Warner Brothers, 1954).",260,7,18,79,22h 51m 55s
17088,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17088,"Roman Legion-Hare Production Background by Irv Wyner (Warner Brothers, 1955).",1050,7,26,192,22h 51m 50s
17089,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17089,"Sandy Claws Production Background by Irv Wyner (Warner Brothers, 1955).",525,7,22,94,22h 51m 45s
17090,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17090,"Sandy Claws Production Background by Irv Wyner (Warner Brothers, 1955).",430,13,23,134,22h 51m 40s
17091,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17091,"Roman Legion-Hare Bugs Bunny Production Cel and Master Background (Warner Brothers, 1955).",925,12,55,156,22h 51m 35s
17092,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17092,"Michigan J. Frog Publicity Cel and Painted Background (Warner Brothers, 1991).",0,0,40,64,22h 51m 29s
17040,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17040,"Yogi Bear Christmas Specialty Signed Original Art Given to Bill Hanna and Joe Barbera (Hanna-Barbera, 1959).",470,8,21,97,23h  16s
17041,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17041,"The Ruff & Reddy Show Ruff and Reddy Title Concept Drawing by Dick Bickenbach (Hanna-Barbera, c. 1957).",240,4,18,67,23h  12s
17042,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17042,"Huckleberry Hound "" Science Friction"" Title Cel Setup with Key Master Background and Main Title Sheet (Hanna-Barbera, 1960).",210,4,34,90,23h  8s
